Category,Carboidratos,Colesterol,Fibra,Calorias,Manganês,Proteína,Selênio,Açúcar,Lipídios,Cálcio,Cobre,Ferro,Magnésio,Fósforo,Potássio,Sódio,Zinco,Vitamina C,Vitamina E,Vitamina K,Vitamina A,Vitamina B
Agave,43.403333333333336,0.0,10.933333554999999,181.33333333333334,0.19099999999999998,1.0733333333333333,0.39999999999999997,24.716667174666668,0.37666666666666665,549.0,0.14633333333333334,2.9966666666666666,100.33333333333333,17.666666666666668,317.6666666666667,13.666666666666666,4.166666666666667,1.5333333333333332,0.45,3.5666666666666664,0.0,3.876
Agentes de Fermentação,30.928571428571427,0.0,4.557142919714286,122.71428571428571,0.19999999999999998,6.7,4.742857142857143,0.0,0.9857142857142857,2523.285714285714,0.12642857142857142,7.718571428571429,33.57142857142857,2944.1428571428573,4175.142857142857,6582.142857142857,2.505714285714286,0.05714285714285715,0.0,0.0,0.0,20.728571428571428
Agrião,3.5975,0.0,0.75,22.25,0.38525,2.175,0.9,2.704999972,0.5,80.75,0.11875000000000001,0.775,27.75,58.0,410.5,76.75,0.16,39.5,0.675,389.67499999999995,0.0,15.5895
Agutuk,8.266666666666667,41.666666666666664,0.16666666666666666,360.3333333333333,0.06333333333333334,11.366666666666667,0.0,0.0,31.3,8.0,0.08333333333333333,1.6833333333333333,14.333333333333334,116.66666666666667,168.0,46.666666666666664,1.4933333333333334,1.7,2.1199999999999997,0.0,0.0,4.776666666666667
Aipo,3.6566666666666667,0.0,1.600000024,17.333333333333332,0.105,0.7833333333333332,0.7999999999999999,2.1899999383333335,0.16333333333333333,41.333333333333336,0.035666666666666666,0.3466666666666667,11.666666666666666,24.666666666666668,276.0,166.0,0.1366666666666667,5.1,0.3233333333333333,34.96666666666666,0.0,8.032666666666666
Aipo-Raiz,7.0,0.0,1.0,32.0,0.11666666666666665,1.14,0.5,0.5333333413333333,0.22666666666666666,31.666666666666668,0.052,0.52,14.666666666666666,82.33333333333333,215.33333333333334,152.66666666666666,0.24333333333333332,5.066666666666666,0.12,13.666666666666666,0.0,3.9723333333333333
Alcachofras,10.088333333333333,0.0,5.950000126999999,46.833333333333336,0.24916666666666668,2.983333333333333,0.20000000000000004,0.7749999963333334,0.37666666666666665,24.5,0.11016666666666668,0.6866666666666666,38.833333333333336,69.33333333333333,286.3333333333333,100.5,0.38833333333333336,6.966666666666666,0.14833333333333334,11.6,0.0,28.15833333333333
Alcachofras de Jerusalém,17.44,0.0,1.600000024,73.0,0.06,2.0,0.7,9.600000381,0.01,14.0,0.14,3.4,17.0,78.0,429.0,4.0,0.12,4.0,0.19,0.1,0.0,32.034
Alcaparras,4.89,0.0,3.200000048,23.0,0.078,2.36,1.2,0.409999996,0.86,40.0,0.374,1.67,33.0,10.0,40.0,2964.0,0.32,4.3,0.88,24.6,0.0,6.859
Alce,0.5716666666666667,96.0,0.0,124.0,0.08816666666666667,24.42833333333333,12.35,0.0,2.6566666666666667,4.833333333333333,0.5861666666666667,5.205,23.5,246.16666666666666,332.5,55.5,5.24,4.433333333333334,0.21,0.0,0.0,24.227833333333336
Alecrim,42.38,0.0,28.349999425,231.0,1.4135,4.095,2.3,0.0,10.540000000000001,798.5,0.4255,17.95,155.5,68.0,811.5,38.0,2.08,41.5,0.0,0.0,0.0,2.9610000000000003
Alface,2.7079999999999997,0.0,1.319999981,15.0,0.18239999999999998,1.234,0.64,1.0720000088,0.20600000000000002,31.0,0.029200000000000004,0.9359999999999999,11.8,28.0,201.4,15.2,0.192,10.440000000000001,0.186,108.55999999999999,0.0,10.6306
Alga Marinha,18.7575,0.0,1.89999995375,102.5,1.2146249999999998,10.27125,2.35,1.087499994875,1.26,158.875,1.024375,8.785,178.125,65.375,424.875,309.625,1.64875,7.375,1.82625,16.5625,0.0,27.740000000000002
Alho,33.06,0.0,2.099999905,149.0,1.672,6.36,14.2,1.0,0.5,181.0,0.299,1.7,25.0,153.0,401.0,17.0,1.16,31.2,0.08,1.7,0.0,25.841
Alhos-Porós,26.01,0.0,3.549999893,111.0,0.9022499999999999,4.58,1.925,2.02999997125,0.7000000000000001,119.75,0.22525,2.975,54.25,103.75,688.5,77.75,0.22499999999999998,34.6,0.48,24.45,0.0,4.60025
Alimento de Queijo,8.8,6.0,0.0,137.0,0.0,22.4,17.4,8.210000038,1.3,552.0,0.03,0.91,35.0,499.0,336.0,1239.0,3.29,0.0,0.01,0.2,10.0,2.02
Alimentos Kraft,79.8,0.0,0.0,377.0,0.0,6.1,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,0.0,0.0
Alimentos Martha White,71.495,1.5,2.2000000475,397.5,0.0,6.115,0.0,29.609999179,9.695,92.5,0.0,3.9349999999999996,0.0,0.0,131.5,876.0,0.5800000000000001,0.1,0.0,0.0,0.0,3.4899999999999998
Alimentos Rápidos,33.32666666666666,20.666666666666668,2.0666666826666664,296.0,0.26899999999999996,10.266666666666667,8.466666666666667,3.3933332563333334,13.496666666666668,127.0,0.11733333333333333,2.0566666666666666,26.333333333333332,169.66666666666666,298.0,439.3333333333333,1.4333333333333336,0.9,0.5366666666666666,5.966666666666666,20.333333333333332,17.48766666666667
Alimentos de Fruta,17.33,33.0,1.5,226.0,0.183,11.34,18.2,4.0,12.37,46.0,0.081,2.99,18.0,97.0,188.0,342.0,2.46,0.9,0.15,14.3,0.0,38.132
Almôndegas,8.0,0.0,4.599999905,197.0,0.0,21.0,0.8,1.25,9.0,25.0,0.706,2.16,18.0,344.0,180.0,550.0,1.8,0.0,1.73,0.0,0.0,93.851
Amaranto,65.25,0.0,6.699999809,371.0,3.333,13.56,18.7,1.690000057,7.02,159.0,0.525,7.61,248.0,557.0,508.0,4.0,2.87,4.2,1.19,0.0,0.0,73.28699999999999
Ameixas,24.84909090909091,0.0,2.4999999674545452,95.36363636363636,0.07363636363636362,0.7081818181818181,0.12727272727272726,15.200000069636365,0.15272727272727274,14.0,0.08418181818181819,0.5981818181818181,11.454545454545455,23.545454545454547,230.1818181818182,8.0,0.13818181818181818,3.0090909090909093,0.21727272727272728,11.527272727272727,0.0,3.2134545454545456
Ameixas Secas,48.85666666666666,0.0,1.2666666506666666,185.66666666666666,0.17133333333333334,1.9333333333333336,0.0,0.0,0.38999999999999996,37.666666666666664,0.311,1.7,33.333333333333336,58.333333333333336,545.6666666666666,3.3333333333333335,0.39666666666666667,0.9333333333333332,0.0,0.0,0.0,2.3753333333333333
Amendoins,18.338666666666665,0.0,8.646666495200002,562.0,1.9676,25.287333333333333,6.933333333333334,1.8059999624666667,47.74,76.06666666666666,0.903,2.214,170.53333333333333,382.1333333333333,630.3333333333334,240.2,3.6613333333333333,0.05333333333333334,3.1713333333333336,0.0,0.0,35.98706666666667
Amoras,13.604,0.0,3.7200000764000003,58.8,0.5706,1.232,0.33999999999999997,9.400000286000001,0.504,24.6,0.13999999999999999,0.826,16.2,23.0,134.0,4.2,0.246,13.6,0.9800000000000001,13.320000000000002,0.0,7.9294
Amoras-Boysen,17.25,0.0,3.9500000479999997,69.0,0.3985,1.045,0.30000000000000004,3.444999933,0.19,22.5,0.07500000000000001,0.64,13.5,18.5,114.5,2.0,0.20500000000000002,4.65,0.435,3.9,0.0,5.8084999999999996
Amêndoas,20.296666666666667,0.0,11.449999968333332,597.1666666666666,2.4005,21.125,2.3333333333333335,3.976666768333333,52.75333333333333,265.5,1.065,3.8216666666666668,272.5,465.0,689.5,139.66666666666666,3.1566666666666667,0.11666666666666665,21.441666666666666,0.0,0.0,48.18766666666667
Anchova,0.0,72.5,0.0,170.5,0.085,24.62,52.3,0.0,7.275,189.5,0.275,3.94,55.0,213.0,463.5,1886.0,2.08,0.0,1.95,6.1,13.5,61.539500000000004
Anchova Azul,0.0,67.5,0.0,141.5,0.024,22.865000000000002,41.65,0.0,4.84,8.0,0.0605,0.55,37.5,259.0,424.5,68.5,0.925,0.0,0.0,0.0,129.0,13.879
Anéis de Cebola,34.345,0.0,1.549999952,332.5,0.3595,4.245,2.95,0.0,20.4,38.5,0.077,1.31,16.5,65.0,159.5,310.5,0.39,3.0,0.0,0.0,0.0,2.7904999999999998
Araruta,17.503333333333334,0.0,0.0,85.0,0.31,4.7700000000000005,0.6333333333333333,0.0,0.16333333333333333,8.0,0.14700000000000002,1.6633333333333333,49.666666666666664,189.33333333333334,894.6666666666666,98.0,0.24,0.5666666666666668,0.0,0.0,0.0,2.2633333333333336
Arenque,1.205,72.375,0.0,216.75,0.0455,19.475,45.125,0.96375000475,14.26125,73.5,0.09675,1.25125,33.5,261.75,387.875,284.75,0.775,0.3,0.83625,0.07500000000000001,62.25,65.24100000000001
Arinca,0.0,69.33333333333333,0.0,105.0,0.028333333333333332,22.793333333333333,37.86666666666667,0.0,0.87,41.333333333333336,0.03366666666666667,1.2666666666666666,47.666666666666664,226.66666666666666,375.0,306.0,0.45,0.0,0.31333333333333335,0.06666666666666667,19.333333333333332,59.81466666666667
Arroz,50.27103448275862,0.10344827586206896,1.2103448221724138,233.10344827586206,0.9132068965517242,4.72551724137931,10.331034482758621,0.09034482903448277,0.803448275862069,15.655172413793103,0.1297241379310345,1.6841379310344828,27.75862068965517,89.27586206896552,79.20689655172414,112.82758620689656,0.8313793103448276,0.027586206896551727,0.0886206896551724,0.10344827586206896,0.0,6.357206896551723
Arroz Selvagem,48.120000000000005,0.0,3.9999998805000003,229.0,0.8055,9.36,1.7999999999999998,1.6150000095,0.7100000000000001,12.0,0.3225,1.28,104.5,257.5,264.0,5.0,3.65,0.0,0.53,1.2,0.0,27.645000000000003
Asas de Búfalo Sem Carne,23.3,0.0,3.700000048,230.0,0.0,14.5,0.0,2.0,9.4,51.0,0.0,3.2,0.0,148.0,493.0,774.0,0.0,0.6,0.0,0.0,0.0,7.4
Aspargos,3.05,0.0,1.6444444392222222,19.22222222222222,0.15811111111111112,2.43,3.211111111111111,0.7977777586666667,0.29333333333333333,19.666666666666668,0.13066666666666665,0.9822222222222222,11.555555555555555,49.0,195.88888888888889,122.66666666666667,0.49888888888888894,17.0,0.8933333333333332,42.56666666666667,0.0,16.035333333333334
Atum,0.0,38.5,0.0,147.57142857142858,0.016071428571428573,26.169999999999998,58.16428571428571,0.0,3.9864285714285717,14.642857142857142,0.07999999999999999,1.137857142857143,39.714285714285715,245.64285714285714,324.64285714285717,137.28571428571428,0.6907142857142857,0.2857142857142857,0.4178571428571428,3.835714285714286,110.07142857142857,31.312500000000004
Avelãs,17.3,0.0,10.1999998095,637.5,9.1,14.364999999999998,4.1,4.189999938,61.775,136.0,1.675,3.84,166.5,310.0,706.5,0.0,2.35,2.9,16.39,0.0,0.0,3.7944999999999993
Aves,0.0,125.66666666666667,0.0,238.0,0.01933333333333333,13.299999999999999,13.6,0.0,20.063333333333333,149.33333333333334,0.06633333333333334,1.5066666666666666,12.333333333333334,139.33333333333334,112.0,43.666666666666664,1.67,2.1666666666666665,0.0,0.0,50.333333333333336,7.083
Avestruz,0.0,78.44444444444444,0.0,135.94444444444446,0.018333333333333333,24.55333333333333,36.63333333333333,0.0,3.451666666666666,5.722222222222222,0.14416666666666667,3.613888888888889,23.38888888888889,229.16666666666666,332.77777777777777,77.22222222222223,4.172222222222222,0.0,0.21666666666666667,0.38333333333333336,0.0,17.126333333333335
Azeitonas,5.236666666666667,0.0,3.0,113.66666666666667,0.013333333333333334,0.9466666666666667,0.9,0.180000007,10.956666666666669,78.0,0.19899999999999998,2.3699999999999997,6.333333333333333,3.3333333333333335,19.666666666666668,1108.6666666666667,0.16,0.7999999999999999,2.3699999999999997,1.3999999999999997,0.0,10.478333333333333
Açúcares,97.1425,0.0,0.0,377.5,1.12175,0.055,0.8,94.9275016775,0.07500000000000001,43.75,0.036750000000000005,0.5875,7.0,1.75,102.75,10.0,1.5225,0.0,0.0,0.0,0.0,1.1084999999999998
Bacalhau,0.0,60.0,0.0,120.875,0.025,26.30125,52.900000000000006,0.0,0.9575,38.125,0.073375,0.74125,55.875,300.0,553.5,980.875,0.7362500000000001,1.55,0.71875,0.1,20.625,79.813375
Bacalhau-Pout,0.0,59.5,0.0,90.5,0.017,18.985,41.65,0.0,1.04,11.5,0.036500000000000005,0.32,15.0,228.0,456.5,69.5,1.175,0.0,0.0,0.0,13.0,3.8715
Bacon,6.32,0.0,2.599999905,310.0,0.205,10.68,7.4,0.0,29.52,23.0,0.105,2.41,19.0,70.0,170.0,1465.0,0.42,0.0,6.9,0.0,0.0,58.033
Bacon De Peru,3.1,98.0,0.0,382.0,0.0,29.6,25.8,0.0,27.9,9.0,0.15,2.11,29.0,460.0,395.0,2285.0,3.03,0.0,1.03,7.1,0.0,75.50999999999999
Bagel,50.5,0.0,2.200000048,257.0,0.515,10.02,22.8,5.050000191,1.62,89.0,0.13,6.05,22.0,87.0,75.0,448.0,1.9,1.0,0.1,1.1,0.0,20.115999999999996
Bagels,54.76375,3.0,2.52499994625,276.625,0.5840000000000001,10.5425,19.2875,2.48250000175,1.665,34.125,0.150375,3.21625,27.25,94.625,110.25,470.25,0.94375,0.2625,0.1375,0.3625,9.75,11.924499999999998
Bagre,1.6079999999999999,64.4,0.13999999759999998,143.2,0.026000000000000002,17.442,13.580000000000002,0.0,6.922,17.4,0.0794,0.6799999999999999,25.4,235.2,347.4,101.2,0.754,0.58,0.24,0.02,13.6,18.9574
Baleia,0.2857142857142857,58.0,0.0,350.2857142857143,0.02514285714285714,23.76571428571429,19.928571428571427,0.0,28.19142857142857,8.0,0.061857142857142854,14.507142857142856,12.142857142857142,207.14285714285714,154.71428571428572,42.57142857142857,1.5085714285714285,0.0,0.038571428571428576,0.0,134.57142857142858,28.799142857142858
Bananas,55.56,0.0,6.249999762,217.5,0.422,2.49,2.45,29.76499939,1.07,13.5,0.23450000000000001,0.705,67.5,48.0,924.5,2.0,0.38,7.85,0.245,1.25,0.0,17.565
Bananas-Da-Terra,31.52,0.0,2.299999952,119.0,0.0,1.045,1.45,14.5,0.275,2.5,0.07350000000000001,0.59,34.5,31.0,482.0,4.5,0.135,14.649999999999999,0.135,0.7,0.0,14.839
Banquete de Peru e Molho com Vestido,10.87,14.0,3.099999905,99.0,0.0,5.93,0.0,1.899999976,3.49,22.0,0.0,0.67,0.0,0.0,0.0,401.0,0.0,2.8,0.0,0.0,0.0,0.0
Bardana,3.02,0.0,1.8333333333333333,20.666666666666668,0.3183333333333333,1.8866666666666667,0.9,0.0,0.66,40.0,0.11966666666666666,2.186666666666667,93.66666666666667,55.666666666666664,344.0,82.0,0.18000000000000002,33.53333333333333,0.0,0.0,0.0,0.7123333333333333
Barra Formulada,55.97333333333333,1.8333333333333333,5.2999999125,369.1666666666667,0.26833333333333337,15.56,1.3,30.443333944999996,10.123333333333333,806.3333333333334,0.31366666666666665,8.101666666666667,179.16666666666666,254.0,60.333333333333336,310.6666666666667,6.823333333333334,107.05000000000001,14.65,0.18333333333333335,0.0,56.06683333333333
Barra de Arroz Crispado,73.0,0.0,2.200000048,404.0,0.999,5.1,9.7,0.0,13.5,21.0,0.31,6.3,48.0,134.0,168.0,278.0,0.86,0.0,0.0,0.0,0.0,8.885
Barra de Café da Manhã,72.9,0.0,2.099999905,377.0,0.0,4.4,15.0,35.09999847,7.5,41.0,0.1,4.86,27.0,103.0,197.0,167.0,4.1,0.0,0.76,13.8,608.0,51.0
Barra de Granola,54.650000000000006,6.0,4.9999998805,533.5,0.0,7.4,16.049999999999997,28.94999981,31.700000000000003,75.0,0.321,1.6,61.5,190.5,296.5,172.5,1.3199999999999998,0.55,2.445,3.55,4.0,21.5
Barra de forma,51.65,5.0,8.3499999045,394.0,1.19,23.455,4.2,28.72999954,10.395,689.5,0.7145,13.219999999999999,246.0,415.0,325.5,304.0,9.22,282.45,76.265,6.1000000000000005,35.0,81.215
Barras de Café da Manhã,66.7,0.0,3.099999905,464.0,0.0,9.8,16.0,27.52000046,17.6,60.0,0.36,3.18,101.0,277.0,326.0,278.0,1.6,1.0,0.82,15.9,0.0,30.490000000000002
Barras de Granola,65.60133333333333,1.5333333333333334,4.260000038133333,452.4,1.2360666666666666,8.31,12.120000000000001,7.091999944,19.491333333333333,72.53333333333333,0.3442,2.5660000000000003,78.6,226.53333333333333,307.0,276.3333333333333,1.6053333333333335,0.12000000000000001,0.4613333333333333,1.5066666666666666,2.6666666666666665,9.214666666666666
Baseado em Milho,59.48166666666666,2.0,3.0666666824999997,525.1666666666666,0.2773333333333333,6.476666666666667,6.183333333333334,1.4766666295000002,29.903333333333336,70.16666666666667,0.10766666666666667,2.0233333333333334,40.666666666666664,114.0,151.16666666666666,874.0,0.7016666666666667,0.6,1.4583333333333333,2.1166666666666667,8.333333333333334,10.696333333333333
Batata,19.31,0.0,2.200000048,85.0,0.186,2.26,0.35,0.9799999595,0.11,13.5,0.11299999999999999,0.93,25.5,63.5,478.0,8.0,0.32499999999999996,14.649999999999999,0.025,1.95,0.0,15.483
Batata Doce,21.88153846153846,0.6153846153846154,2.407692303923077,96.07692307692308,0.5208461538461538,1.5553846153846154,0.5384615384615384,5.691538370384615,0.4015384615384615,29.0,0.15492307692307694,0.78,20.076923076923077,40.84615384615385,304.2307692307692,71.53846153846153,0.24153846153846154,12.176923076923078,0.6546153846153846,1.723076923076923,0.0,8.106076923076923
Batatas,25.406111111111112,2.3194444444444446,2.661111107263889,139.25,0.27341666666666664,2.926111111111111,1.8500000000000003,0.5897222209027778,3.3216666666666668,29.59722222222222,0.20444444444444446,1.2977777777777777,25.555555555555557,79.25,436.06944444444446,232.51388888888889,0.38958333333333334,12.238888888888889,0.04569444444444445,1.4763888888888888,8.694444444444445,9.579722222222221
Baunilha Muito de Seda,7.82,0.0,0.400000006,53.0,0.0,2.47,2.3,6.579999924,1.65,144.0,0.0,0.44,16.0,0.0,123.0,58.0,0.62,8.6,0.0,0.0,0.0,1.44
Baunilha de Seda,4.12,0.0,0.400000006,41.0,0.0,2.47,2.3,2.880000114,1.44,123.0,0.0,0.44,16.0,0.0,123.0,39.0,0.25,0.0,0.0,0.0,0.0,1.44
Bebida,53.366666666666674,23.333333333333332,1.3333333433333332,348.0,0.0,26.399999999999995,16.066666666666666,52.03333409666667,3.033333333333333,555.0,1.6083333333333334,7.6066666666666665,279.3333333333333,359.0,1617.3333333333333,627.3333333333334,9.183333333333334,72.03333333333335,8.766666666666666,70.06666666666666,1475.0,192.29666666666668
Bebida Alcoólica,6.800322580645162,0.9354838709677419,0.009677419596774194,132.24193548387098,0.030387096774193552,0.15677419354838712,0.13064516129032258,3.4070967733870967,0.424516129032258,2.7903225806451615,0.013903225806451612,0.06887096774193549,2.6129032258064515,6.0,20.951612903225808,18.774193548387096,0.04290322580645162,0.5483870967741935,0.008064516129032258,0.037096774193548385,2.7580645161290325,1.0181451612903225
Bebida Carbonatada,7.5189473684210535,0.0,0.0,29.210526315789473,0.009736842105263158,0.02263157894736842,0.05263157894736842,5.608421024,0.00736842105263158,3.210526315789474,0.008842105263157896,0.05263157894736842,0.631578947368421,4.052631578947368,4.578947368421052,14.052631578947368,0.05,0.0,0.0,0.0,0.0,0.05568421052631579
Bebida Energética,10.94,0.0,0.0,45.0,0.003,0.25,0.2,10.06000042,0.08,13.0,0.005,0.02,3.0,0.0,3.0,84.0,0.0,0.0,0.0,0.0,0.0,13.085
Bebida Eng,0.7,0.0,0.0,5.0,0.003,0.25,0.0,0.0,0.08,13.0,0.005,0.02,3.0,0.0,3.0,84.0,0.0,0.0,0.0,0.0,0.0,13.085
Bebida Esportiva,5.756666666666667,0.0,0.0,23.0,0.004333333333333333,0.0,0.03333333333333333,3.783333301666667,0.016666666666666666,0.6666666666666666,0.008666666666666668,0.06333333333333334,0.3333333333333333,6.666666666666667,14.333333333333334,32.0,0.013333333333333334,2.2333333333333334,0.0,0.06666666666666667,0.0,1.1356666666666666
Bebida Sabor Chocolate,10.68,0.0,0.600000024,49.0,0.073,0.64,0.7,8.680000305,0.4,100.0,0.074,0.33,11.0,24.0,79.0,91.0,0.16,2.0,0.01,0.1,60.0,3.32
Bebida Sabor Ponche de Frutas,53.585,0.0,0.0,209.5,0.014,0.0,0.39999999999999997,52.214998246,0.055,79.5,0.0755,0.275,0.5,0.0,3.0,24.5,0.065,66.85000000000001,0.0,0.0,0.0,0.0225
Bebida Tipo Café da Manhã,0.9,0.0,0.0,4.0,0.0,0.04,0.0,0.029999999,0.0,11.0,0.01,0.0,4.0,7.0,33.0,5.0,0.01,25.1,0.56,0.0,63.0,0.9919999999999999
Bebida com Carboidratos,0.145,0.0,0.0,1.0,0.062,0.10500000000000001,0.0,0.0,0.015,3.5,0.013500000000000002,0.075,1.0,4.5,5.0,7.0,0.005,0.0,0.0,0.0,0.0,0.014
Bebida com Sabor de Fruta,88.925,0.0,1.1500000245000002,222.0,0.0045000000000000005,0.35,0.0,0.0,0.1,923.5,0.0055,0.08,124.0,866.0,1508.0,209.0,0.005,1480.0,0.01,0.0,2998.0,47.4135
Bebida com Sabor de Laranja,50.52,0.0,0.8999999924000001,174.6,0.0186,0.746,0.2,32.093999195,0.128,396.8,0.016599999999999997,0.08600000000000001,55.8,179.4,781.2,27.4,0.02,594.5200000000001,0.078,0.06000000000000001,1336.4,21.2492
Bebida com Sabor de Limonada,50.56,0.0,0.0,207.5,0.001,0.055,0.2,50.560001134000004,0.0,46.0,0.028499999999999998,0.06,1.0,5.0,2.0,76.0,0.030000000000000002,17.849999999999998,0.0,0.0,0.0,0.007
Bebida com Sabor de Sidra de Maçã,49.55,0.0,0.0500000005,198.0,0.0,0.0,0.3,40.474998475,0.0,238.0,0.008,0.045,0.5,71.0,3.5,54.5,0.015,194.0,0.0,0.0,0.0,0.013000000000000001
Bebida de Café da Manhã de Laranja,12.0,0.0,0.15000000200000002,48.0,0.013,0.0,0.05,7.2900002005,0.0,52.0,0.0225,0.045,4.0,5.0,62.0,28.0,0.035,18.5,0.04,0.0,0.0,0.22449999999999998
Bebida de Laranja,20.886666666666667,0.0,0.033333333666666666,82.33333333333333,0.024333333333333332,0.17333333333333334,0.0,20.04333305333333,0.023333333333333334,174.0,0.14,0.12666666666666668,15.666666666666666,49.666666666666664,216.66666666666666,13.0,0.06,100.7,0.043333333333333335,0.03333333333333333,0.0,3.135333333333333
Bebida de Ponche de Frutas,19.25,0.0,0.1750000025,75.75,0.1575,0.065,0.1,5.64499998,0.0,7.0,0.035500000000000004,0.1425,3.5,2.25,28.25,15.25,0.027500000000000004,57.349999999999994,0.0075,0.0,0.0,0.1065
Bebida de Suco de Frutas Cítricas,25.810000000000002,0.0,0.15000000200000002,104.0,0.164,0.77,0.25,18.379999637,0.065,17.0,0.066,2.5300000000000002,13.0,23.0,252.5,3.5,0.08,61.2,0.14,0.15000000000000002,0.0,1.4035
Bebida de Suco de Laranja e Damasco,12.7,0.0,0.100000001,51.0,0.009,0.3,0.1,12.06000042,0.1,5.0,0.032,0.1,5.0,8.0,80.0,2.0,0.04,20.0,0.11,0.1,0.0,0.335
Bebida de Suco de Ponche de Frutas,26.77,0.0,0.1000000015,108.5,0.1305,0.185,0.0,0.0,0.435,13.5,0.047,0.5,7.0,7.5,168.0,7.5,0.435,12.25,0.0,0.0,0.0,0.36650000000000005
Bebida de Suco de Uva,14.55,0.0,0.100000001,57.0,0.2,0.0,0.1,14.10999966,0.0,7.0,0.022,0.13,6.0,6.0,33.0,9.0,0.03,26.5,0.0,0.2,0.0,0.779
Bebida de Uva,15.75,0.0,0.0,61.0,0.027,0.0,0.1,13.06000042,0.0,52.0,0.013,0.07,1.0,0.0,12.0,16.0,0.12,31.4,0.0,0.0,0.0,0.019999999999999997
Bebida de Vegetais e Frutas Misturadas,7.47,0.0,0.0,29.0,0.012,0.04,0.1,2.099999905,0.01,3.0,0.009,0.04,1.0,2.0,19.0,21.0,0.01,32.5,1.63,0.5,0.0,5.048
Beefaroni Chef Boyardee,13.58,3.0,0.5,92.0,0.0,3.3,0.0,1.940000057,2.67,11.0,0.0,0.67,0.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0
Beldroega,3.51,0.0,0.0,17.333333333333332,0.3056666666666667,1.4266666666666667,0.9,0.0,0.16,73.66666666666667,0.11366666666666668,1.1766666666666667,67.33333333333333,39.333333333333336,490.0,123.0,0.17,14.0,0.0,0.0,0.0,5.040666666666666
Berinjela,8.085,0.0,2.72500002375,35.25,0.119,0.8925,0.275,3.3875000479999997,0.3375,11.5,0.09325,0.3775,10.5,16.0,122.0,479.0,0.1575,1.2000000000000002,0.2875,3.25,0.0,10.181
Berrys de Sambuco,18.4,0.0,7.0,73.0,0.0,0.66,0.6,0.0,0.5,38.0,0.061,1.6,5.0,39.0,280.0,6.0,0.11,36.0,0.0,0.0,0.0,1.0
